"Unidade Gestora";"Despesas Empenhadas";"Despesas Empenhadas no Exercício";"Despesas Liquidadas";"Despesas Pagas";"Despesas do Exercício Pagas"
"   550101 - SECRETARIA DE ESTADO DE ASSISTENCIA SOCIAL";50984351,66;50984351,66;50889507,17;41042352,68;39136629,27
"   550201 - FUNDAÇÃO DA CRIANÇA E DO ADOLESCENTE ";18078058,93;18078058,93;17874569,91;17679223,65;17679223,65
"   550202 - FUNDAÇÃO ESTADUAL DE POLÍTICAS DE PROMOÇÃO DA IGUALDADE RACIAL DO AMAPÁ";34608321,4;34608321,4;23500248,4;20888073,4;20888073,4
"   550301 - FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL";103366299,54;103366299,54;101775070,2;96431490,36;95739092,68
"   560101 - SECRETARIA DE ESTADO DE COMPRAS E LICITAÇÕES DO AMAPÁ";1013507,16;1013507,16;1009326,23;1009326,23;1009326,23
"   570101 - SECRETARIA DE ESTADO DA CASA CIIVIL DO AMAPÁ";11466304,9;11466304,9;11176504,82;7842437,92;7618486,08
"   580202 - UNIVERSIDADE ESTADUAL DO AMAPÁ";0;0;0;0;0
"   590101 - SECRETARIA DE ESTADO DOS DIREITOS HUMANOS ";846056,56;846056,56;566192,84;143718,03;143718,03
"   600101 - SECRETARIA DE ESTADO DA JUVENTUDE";18545658,21;18545658,21;18192060,21;17381905,28;17381905,28
"   610101 - GABINETE DE SEGURANÇA INSTITUCIONAL";1376097,77;1376097,77;1272385,02;1272385,02;1272385,02
